Title,Skill,Title,Hot Technology,
General and Operations Managers,Job control language JCL,Operating system software,Y,
General and Operations Managers,Kronos Workforce Payroll,Time accounting software,N,
General and Operations Managers,Kronos Workforce Timekeeper,Time accounting software,N,
General and Operations Managers,LexisNexis,Information retrieval or search software,N,
General and Operations Managers,LinkedIn,Web page creation and editing software,Y,
General and Operations Managers,LSA Visual Easy Lean,Materials requirements planning logistics and supply chain software,N,
General and Operations Managers,Marketo Marketing Automation,Sales and marketing software,Y,
General and Operations Managers,Maximizer Software Maximizer Enterprise,Customer relationship management CRM software,N,
General and Operations Managers,McAfee,Transaction security and virus protection software,Y,
General and Operations Managers,Microsoft Access,Data base user interface and query software,Y,
General and Operations Managers,Microsoft Dynamics,Enterprise resource planning ERP software,Y,
General and Operations Managers,Microsoft Dynamics GP,Enterprise resource planning ERP software,Y,
General and Operations Managers,Microsoft Excel,Spreadsheet software,Y,
General and Operations Managers,Microsoft Exchange Server,Electronic mail software,Y,
General and Operations Managers,Microsoft FrontPage,Web page creation and editing software,N,
General and Operations Managers,Microsoft Internet Explorer,Internet browser software,N,
General and Operations Managers,Microsoft Office,Office suite software,Y,
General and Operations Managers,Microsoft Outlook,Electronic mail software,Y,
General and Operations Managers,Microsoft PowerPoint,Presentation software,Y,
General and Operations Managers,Microsoft Project,Project management software,Y,
General and Operations Managers,Microsoft Publisher,Desktop publishing software,N,
General and Operations Managers,Microsoft SharePoint,Project management software,Y,
General and Operations Managers,Microsoft SQL Server,Data base user interface and query software,Y,
General and Operations Managers,Microsoft Visio,Graphics or photo imaging software,Y,
General and Operations Managers,Microsoft Visual Basic,Development environment software,Y,
General and Operations Managers,Microsoft Windows,Operating system software,Y,
General and Operations Managers,Microsoft Word,Word processing software,Y,
General and Operations Managers,MicroStrategy,Business intelligence and data analysis software,Y,
General and Operations Managers,Minitab,Analytical or scientific software,Y,
General and Operations Managers,Mozilla Firefox,Internet browser software,N,
General and Operations Managers,Mozilla Thunderbird,Electronic mail software,N,
General and Operations Managers,Nagios,Network monitoring software,Y,
General and Operations Managers,NetSuite ERP,Enterprise resource planning ERP software,Y,
General and Operations Managers,NetSuite NetCRM,Customer relationship management CRM software,N,
General and Operations Managers,Oracle Business Intelligence Enterprise Edition,Business intelligence and data analysis software,Y,
General and Operations Managers,Oracle E-Business Suite Financials,Financial analysis software,N,
General and Operations Managers,Oracle Eloqua,Customer relationship management CRM software,N,
General and Operations Managers,Oracle Fusion Applications,Enterprise resource planning ERP software,Y,
General and Operations Managers,Oracle Hyperion,Enterprise resource planning ERP software,Y,
General and Operations Managers,Oracle JD Edwards EnterpriseOne,Enterprise resource planning ERP software,Y,
General and Operations Managers,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,
General and Operations Managers,Oracle PeopleSoft Financials,Enterprise resource planning ERP software,Y,
General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,Project management software,Y,
General and Operations Managers,Oracle Solaris,Operating system software,Y,
General and Operations Managers,Oracle Taleo,Human resources software,Y,
General and Operations Managers,Payroll software,Time accounting software,N,
General and Operations Managers,Personnel scheduling software,Human resources software,N,
General and Operations Managers,Point of sale POS software,Point of sale POS software,N,
General and Operations Managers,PostgreSQL,Object oriented data base management software,Y,
General and Operations Managers,Puppet,Configuration management software,Y,
General and Operations Managers,Qlik Tech QlikView,Business intelligence and data analysis software,Y,
General and Operations Managers,R,Object or component oriented development software,Y,
General and Operations Managers,Realization Streamliner,Project management software,N,
General and Operations Managers,Sage 50 Accounting,Accounting software,N,
General and Operations Managers,Sage ACT!,Customer relationship management CRM software,N,
General and Operations Managers,Sage MAS 500,Financial analysis software,N,
General and Operations Managers,Salesforce software,Customer relationship management CRM software,Y,
General and Operations Managers,Salesforce.com Salesforce CRM,Customer relationship management CRM software,N,
General and Operations Managers,SAP,Enterprise resource planning ERP software,Y,
General and Operations Managers,SAP Business Objects,Enterprise resource planning ERP software,Y,
General and Operations Managers,SAP Crystal Reports,Data base reporting software,Y,
General and Operations Managers,SAS,Analytical or scientific software,Y,
General and Operations Managers,Savant MobileRanger,Data base user interface and query software,N,
General and Operations Managers,SeaMonkey,Internet browser software,N,
General and Operations Managers,Shell script,Operating system software,Y,
General and Operations Managers,Siemens NX for Manufacturing,Computer aided manufacturing CAM software,N,
General and Operations Managers,Software on Sailboats Desktop Sales Manager,Customer relationship management CRM software,N,
General and Operations Managers,Splunk Enterprise,Enterprise system management software,Y,
General and Operations Managers,StataCorp Stata,Analytical or scientific software,N,
General and Operations Managers,Structured query language SQL,Data base user interface and query software,Y,
General and Operations Managers,Sugar CRM,Customer relationship management CRM software,N,
General and Operations Managers,Supervisory control and data acquisition SCADA software,Industrial control software,Y,
General and Operations Managers,Symantec,Transaction security and virus protection software,Y,
General and Operations Managers,Tableau,Business intelligence and data analysis software,Y,
General and Operations Managers,Tax software,Accounting software,Y,
General and Operations Managers,Teradata Database,Data base management system software,Y,
General and Operations Managers,The MathWorks MATLAB,Analytical or scientific software,Y,
General and Operations Managers,Vanguard Software Vanguard Sales Manager,Customer relationship management CRM software,N,
General and Operations Managers,Veritas NetBackup,Backup or archival software,N,
General and Operations Managers,vtiger CRM,Customer relationship management CRM software,N,
General and Operations Managers,Yardi,Data base user interface and query software,Y,
General and Operations Managers,YouTube,Video creation and editing software,Y,
Legislators,Adobe Systems Adobe Acrobat,Document management software,Y,
Legislators,Adobe Systems Adobe FrameMaker,Desktop publishing software,N,
Legislators,Antenna House,Desktop publishing software,N,
